labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,basic_level,comments
0,129069,130718,hat,d,n,MOT,hat,
1,129314,131807,head,d,n,MOT,head,
2,165265,168177,milk,i,n,MOT,milk,
3,166706,169926,bottle,i,n,MOT,bottle,
4,169393,171530,bottles,q,n,MOT,bottle,
5,171531,173768,bottles,q,n,MOT,bottle,
6,240957,242897,milk,d,n,MOT,milk,
7,242269,244772,bottle,q,n,MOT,bottle,
8,243950,246414,bottle,q,y,MOT,bottle,
9,246548,425309,peas,d,y,MOT,peas,
10,346487,349772,avacado,q,y,MOT,avacado,
11,359801,364014,baby+food,d,y,MOT,NA,
12,363834,366914,baby+food,d,y,MOT,NA,
13,391451,393634,bib,q,n,MOT,bib,
14,401485,405576,camera,d,y,MOT,camera,
15,415002,417867,spoon,d,n,MOT,spoon,
16,421580,424909,bib,i,y,MOT,bib,
17,431194,434444,arm,d,y,MOT,arm,
18,478809,481765,frog,q,y,MOT,frog,
19,480725,482757,frog,d,y,MOT,frog,
20,484666,487299,blanket,d,n,MOT,blanket,
21,566452,569644,milk,q,y,MOT,milk,
22,596645,600185,camera,q,n,FAT,camera,
23,600937,603849,Candid+Camera,s,n,MOT,NA,
24,647040,649465,peas,i,y,FAT,peas,
25,655929,660702,bottle,d,n,MOT,bottle,
26,729411,736045,milk,d,y,MOT,milk,
27,736045,736045,%com: talking to each other and baby?,NA,NA,NA,NA,
28,745268,748460,peas,d,y,MOT,peas,
29,867247,870776,camera,q,n,FAT,camera,
30,902835,931446,food,d,y,MOT,NA,
31,928458,932965,hair,d,n,FAT,hair,
32,969945,971683,hand,i,y,FAT,hand,
33,971684,973441,mouth,i,n,FAT,mouth,
34,1027944,1029754,bottle,d,y,MOT,bottle,
35,1033106,1035554,milk,i,y,MOT,milk,
36,1075762,1079552,peas,d,y,FAT,peas,
37,1078669,1080531,face,d,y,FAT,face,
38,1089291,1092297,milk,d,y,FAT,milk,
39,1175217,1179827,hands,s,y,MOT,hand,
40,1179828,1181242,hands,s,y,MOT,hand,
41,1181582,1183162,hands,q,y,MOT,hand,
42,1183162,1183163,hands,s,y,MOT,hand,
43,1183163,1184582,hands,q,y,MOT,hand,
44,1183163,1356952,hands,s,y,MOT,hand,
45,1184598,1186020,hands,q,y,MOT,hand,
46,1186021,1187204,bib,q,y,MOT,bib,
47,1255908,1259351,cat,d,n,TOY,cat,
48,1270488,1272548,hearts,d,y,TOY,heart,
49,1272549,1274129,belly,d,y,TOY,belly,
50,1273482,1275919,hearts,d,y,MOT,heart,
51,1282211,1285452,leg,d,y,MOT,leg,
52,1350684,1352638,octopus,d,y,MOT,octopus,
53,1356953,1356953,%com: referring to baby while baby is holding octopus,NA,NA,NA,NA,
54,1361092,1363943,dinner,d,n,MOT,NA,
55,1404297,1406900,toys,q,y,MOT,NA,
56,1467302,1469533,train,d,y,MOT,train,
57,1505130,1509554,rainbow,s,n,TOY,rainbow,
58,1511430,1514250,hand,d,y,MOT,hand,
59,1548005,1549751,button,i,y,MOT,button,
60,1590770,1598488,train,s,y,TOY,train,
61,1616609,1618768,train,d,y,MOT,train,
62,1621368,1621367,train,q,y,MOT,train,
63,1693679,1696282,hands,d,y,MOT,hand,
64,1734219,1739329,hands,d,y,FAT,hand,
65,1790560,1794886,hands,d,y,FAT,hand,
66,1794887,1798346,belly,q,n,MOT,belly,
67,1798383,1798382,belly,n,y,FAT,belly,
68,1798383,1800870,belly,n,y,FAT,belly,
69,1802288,1804577,belly,n,y,MOT,belly,
70,1804577,1807565,belly+belly,s,y,MFT,belly,
71,1811578,1811577,belly+belly,s,y,MOT,belly,
72,1813549,1814965,piggy,q,n,FAT,piggy,
73,1814966,1816543,piggy,q,n,FAT,piggy,
74,1816544,1819878,piggy,d,n,FAT,piggy,
75,1816612,1817672,piggy,q,n,FAT,piggy,
76,1822686,1824886,animal,d,n,MOT,NA,
77,1824887,1828690,pug,d,n,MOT,pug,
78,1830240,1830772,pugs,n,n,MOT,pug,
79,1830773,1832781,pigs,n,n,MOT,pig,
80,1832782,1834630,peaches,d,n,MOT,peach,
81,1834631,1837556,peaches,n,n,FAT,peach,
82,1837556,1839359,peas,n,n,FAT,peas,
83,1846005,1847479,blanket,q,y,MOT,blanket,
84,1847480,1850462,blanket,d,y,MOT,blanket,
85,1850693,1855633,baby,q,n,FAT,baby,
86,1855634,1856614,baby,q,n,FAT,baby,
87,1856615,1858896,baby,d,y,FAT,baby,
