labeled_object_vl.ordinal,labeled_object_vl.onset,labeled_object_vl.offset,labeled_object_vl.object,labeled_object_vl.utterance_type,labeled_object_vl.object_present,labeled_object_vl.speaker,basic_level,comments_questions
0,34832,37005,camera,q,y,FAT,camera,
1,49977,51586,book,q,n,FAT,NA,
2,121244,124182,book,q,y,FAT,NA,
3,393288,395825,booties,d,y,FAT,bootie,
4,395826,398311,booties,s,y,FAT,bootie,
5,452080,456831,equipment,d,n,FAT,NA,
6,472003,476031,poop,d,n,FAT,poop,
7,502642,506763,sweet+potato,d,n,FAT,sweet+potato,
8,549070,549981,poops,d,n,FAT,poop,
9,549982,551581,poops,d,n,FAT,poop,
10,698598,700893,mouth,d,y,FAT,mouth,
11,735192,736386,booties,d,y,FAT,bootie,
12,736387,738621,pants,d,y,FAT,pants,
13,891228,896773,doll,q,y,FAT,doll,
14,1117909,1121163,pan,d,y,FAT,pan ,
15,1156230,1158740,smile,d,n,FAT,NA,
16,1158741,1161346,smile,d,n,FAT,NA,
17,1409515,1410909,coffee,d,n,FAT,coffee,"a cup of coffee, I'm not sure if I should include this"
18,1487331,1491205,hat,d,n,FAT,hat,
19,1595189,1597544,smiles,d,n,FAT,NA,
20,1598367,1601095,smiles,d,n,FAT,NA,
21,1601720,1603581,picture,d,n,FAT,NA,
22,1605432,1607847,picture,d,n,FAT,NA,
23,1679106,1681585,tongue,q,n,FAT,tongue,
24,1681586,1683452,tongue,d,n,FAT,tongue,
25,1742574,1746387,book,d,y,FAT,book,
26,1810058,1813219,hat,q,y,FAT,hat,"to be specific, the baby lab cap from the experiment"
27,1813220,1815939,hat,q,y,FAT,hat,
28,1854455,1857367,cloth,q,n,FAT,cloth,
29,1871094,1873790,cloth,q,n,FAT,cloth,
30,1883869,1888734,banana,q,n,FAT,banana,the banana toothbrush!
31,1888734,1888734,%com: a banana toothbrush and not an actual banana,NA,NA,NA,NA,
32,1888735,1890799,banana,d,y,FAT,banana,
33,1891540,1893306,banana,q,y,FAT,banana,
34,2027531,2029886,banana,d,y,FAT,banana,
35,2040185,2044060,banana,q,y,FAT,banana,
36,2044060,2048044,coffee,d,y,FAT,coffee,
37,2133318,2134899,eyes,d,n,FAT,eye,
38,2163623,2163623,%com: just putting kitchen here just in case,NA,NA,NA,NA,
39,2164262,2165314,banana,d,y,FAT,banana,
40,2289993,2291823,banana,d,y,FAT,banana,
41,2328978,2330156,mouth,q,n,FAT,mouth,
42,2331937,2335842,mouth,q,n,FAT,mouth,
43,2394647,2405745,applesauce,d,n,FAT,applesauce,
44,2430168,2432554,bag,d,n,FAT,bag,
45,2435529,2438596,baby,q,y,FAT,baby,baby is looking at herself in the mirror
46,2438597,2440432,baby,q,y,FAT,baby,
47,2440432,2443132,cheeks,d,y,FAT,cheek,
48,2511976,2514517,book,q,y,FAT,book,
49,2696895,2699002,book,d,y,FAT,book,
50,2699011,2701603,cover,d,y,FAT,cover,the cover of the book
51,2880765,2884112,phone,d,y,FAT,phone,Dad's smartphone
52,3126453,3128468,pajamas,r,y,FAT,pajamas,
53,3128469,3130341,pajamas,n,y,FAT,pajamas,
54,3183637,3186240,hat,q,n,FAT,hat,
55,3187241,3189733,hat,q,n,FAT,hat,
56,3290021,3292097,side+board,q,y,FAT,NA,
57,3292098,3292098,"%com: not sure what a sideboard is, or if I'm hearing it right",NA,NA,NA,NA,
58,3422255,3423532,face,d,y,FAT,face,
59,3480318,3481973,tooth,q,y,FAT,tooth,
60,3576404,3578480,dishes,d,y,FAT,dish,
61,3605452,3607994,banana,q,y,FAT,banana,
62,3613286,3615957,gums,d,n,FAT,gums,gums from the mouth
