labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,basic_level
139,1782885,1802421,Abby,n,n,GRM,Abby
140,1802422,1804838,Abby,q,n,GRM,Abby
50,543161,555180,apple,q,y,GRM,apple
51,555181,564036,apple,n,n,GRM,apple
52,563004,700125,apples,s,n,GRM,apple
193,2829336,2838139,baby,q,y,GRM,baby
194,2838140,2839902,baby,d,y,GRM,baby
195,2844472,2848811,baby,q,n,GRM,baby
196,2875468,2886565,baby,i,n,GRM,baby
197,2886566,2892198,baby,q,n,GRM,baby
198,2941547,2945421,baby,q,y,GRM,baby
199,3021045,3025943,baby,q,y,GRM,baby
200,3025944,3028538,baby,q,y,GRM,baby
201,3043871,3051774,baby,q,y,GRM,baby
203,3448397,3449327,baby,q,n,GRM,baby
204,3448695,3449934,baby,q,y,GRM,baby
212,3551488,3553542,baby,i,y,GRM,baby
23,265273,279202,ball,s,y,TOY,ball
26,299723,301820,ball,i,y,GRM,ball
28,305922,327303,ball,q,y,GRM,ball
29,327304,337044,ball,i,y,GRM,ball
44,487523,491131,ball,i,y,GRM,ball
206,3505124,3509028,ball,q,y,GRM,ball
54,565992,574614,banana,q,n,GRM,banana
55,574615,577085,banana,i,n,GRM,banana
53,564037,565991,bananas,s,n,GRM,banana
71,758101,760147,bee,q,y,GRM,bee
73,761581,763811,bee,n,y,TOY,bee
74,763812,764608,bee,q,y,GRM,bee
76,765790,777368,bee,s,y,TOY,bee
77,765790,777368,bee,s,y,TOY,bee
91,814779,820284,bee,s,n,TOY,bee
107,882796,886365,bee,d,y,TOY,bee
108,886366,895066,bee,d,n,TOY,bee
109,895067,899208,bee,q,y,GRM,bee
110,899209,901821,bee,s,y,TOY,bee
88,808389,809512,roast+beef,d,n,GRM,roast+beef
154,2092152,2104551,Bert,d,n,TOY,Bert
180,2383253,2386321,birdie,n,y,GRM,birdie
181,2386322,2389669,birdie,d,y,GRM,birdie
202,3355119,3363581,blanky,d,n,GRM,blanky
211,3551488,3553542,blanky,i,y,GRM,blanky
134,1717374,1724378,book,q,n,GRM,book
209,3541085,3549039,book,q,y,GRM,book
118,988938,992874,bottle,q,n,GRM,bottle
119,992875,997567,bottle,d,n,GRM,bottle
120,1246940,1251495,bottle,q,n,GRM,bottle
121,1251496,1256884,bottle,q,n,GRM,bottle
122,1256885,1261073,bottle,d,n,GRM,bottle
72,760148,761580,bumblebee,n,y,GRM,bumblebee
97,840737,846409,bumblebee,q,n,GRM,bumblebee
207,3509029,3511409,bumblebee,q,y,GRM,bumblebee
21,246924,263288,camera,q,y,GRM,camera
22,263289,265272,camera,q,n,GRM,camera
39,448075,449748,camera,i,y,GRM,camera
48,537792,541324,camera,q,y,GRM,camera
49,541325,543160,camera,d,y,GRM,camera
164,2162551,2168791,cookie,d,n,GRM,cookie
165,2168792,2175726,cookie,q,n,GRM,cookie
149,2040110,2042695,cookies,d,n,GRM,cookie
150,2042695,2045328,cookies,n,n,TOY,cookie
158,2139065,2142554,Cookie,n,n,GRM,Cookie+Monster
160,2145007,2147885,Cookie,q,n,GRM,Cookie+Monster
148,2034354,2040110,Cookie+Monster,d,n,GRM,Cookie+Monster
152,2050000,2060247,Cookie+Monster,d,n,GRM,Cookie+Monster
157,2135314,2139064,Cookie+Monster,q,n,GRM,Cookie+Monster
159,2142555,2145006,Cookie+Monster,q,n,GRM,Cookie+Monster
161,2147886,2153651,Cookie+Monster,d,n,GRM,Cookie+Monster
162,2147886,2291350,Cookie+Monster,d,n,GRM,Cookie+Monster
163,2153652,2162550,Cookie+Monster,d,n,GRM,Cookie+Monster
167,2223283,2228852,Cookie+Monster,q,n,GRM,Cookie+Monster
168,2230636,2233038,Cookie+Monster,d,y,GRM,Cookie+Monster
173,2300454,2302748,Cookie+Monster,q,y,GRM,Cookie+Monster
174,2302749,2313908,Cookie+Monster,d,y,GRM,Cookie+Monster
175,2313909,2317524,Cookie+Monster,i,y,GRM,Cookie+Monster
176,2317525,2327649,Cookie+Monster,q,n,GRM,Cookie+Monster
177,2327650,2332195,Cookie+Monster,q,n,GRM,Cookie+Monster
14,213630,219498,curtains,q,n,GRM,curtains
4,135957,138417,diaper,q,n,GRM,diaper
5,138418,140869,diaper,q,n,GRM,diaper
135,1745744,1756624,diaper,q,n,GRM,diaper
1,127874,130616,doggy,q,y,GRM,doggy
64,693599,707709,doggy,q,y,GRM,doggy
103,875263,1943287,doggy,q,y,GRM,doggy
184,2648082,2653383,doggy,q,y,GRM,doggy
185,2653384,2654677,doggy,q,y,GRM,doggy
61,688312,690169,ears,s,n,TOY,ears
106,880933,882795,ears,s,n,TOY,ears
32,363019,366759,elephant,n,n,TOY,elephant
136,1756625,1772909,Elmo,d,n,GRM,Elmo
137,1772910,1777759,Elmo,d,n,GRM,Elmo
138,1777760,1782884,Elmo,d,n,TOY,Elmo
141,1848129,1850297,Elmo,q,n,GRM,Elmo
142,1850298,1852721,Elmo,q,n,GRM,Elmo
143,1852722,1858100,Elmo,q,n,GRM,Elmo
144,1862914,1867010,Elmo,q,n,GRM,Elmo
145,1862914,2135312,Elmo,q,n,GRM,Elmo
151,2045329,2049999,Elmo,d,n,TOY,Elmo
153,2050000,2153650,Elmo,q,n,GRM,Elmo
155,2104552,2107802,Elmo,q,n,GRM,Elmo
156,2107803,2110354,Elmo,q,n,GRM,Elmo
166,2178715,2183493,Elmo,d,n,TOY,Elmo
60,680616,688311,eyes,s,n,TOY,eyes
105,877364,880932,eyes,s,n,TOY,eyes
208,3533863,3541084,eyes,q,y,GRM,eyes
192,2793310,2797216,face,d,n,ADU,face
2,130617,133208,foot,n,y,TOY,foot
3,133209,135956,foot,n,y,TOY,foot
6,140870,143634,foot,q,y,GRM,foot
68,717123,718893,four,n,y,TOY,four
75,764609,765789,frog,d,n,TOY,frog
80,786356,793941,frog,s,n,TOY,frog
92,820284,825020,frog,s,n,TOY,frog
95,831291,837697,frog,d,n,TOY,frog
98,846410,849596,frog,d,n,TOY,frog
99,849597,859933,frog,s,n,TOY,frog
96,837698,840736,froggy,q,n,GRM,frog
7,143635,161688,hands,s,y,TOY,hands
8,161689,172576,hands,s,y,GRM,hands
